Año,Mes,Día,Desviación,Recuento de Desviación
2024,junio,10,D1,5
2024,junio,10,D2,7
2024,junio,10,D3,6
2024,junio,10,D4,2
2024,junio,11,D1,26
2024,junio,11,D2,11
2024,junio,11,D3,9
2024,junio,11,D4,5
2024,junio,12,D1,21
2024,junio,12,D2,14
2024,junio,12,D3,12
2024,junio,12,D4,3
2024,junio,13,D1,27
2024,junio,13,D2,16
2024,junio,13,D3,6
2024,junio,13,D4,13
2024,junio,14,D1,26
2024,junio,14,D2,11
2024,junio,14,D3,14
2024,junio,14,D4,5
2024,junio,15,D1,5
2024,junio,15,D3,7
2024,junio,15,D4,6
2024,junio,17,D1,40
2024,junio,17,D2,14
2024,junio,17,D3,1
2024,junio,17,D4,1
2024,junio,18,D1,64
2024,junio,18,D2,13
2024,junio,18,D3,8
2024,junio,18,D4,1
2024,junio,19,D1,35
2024,junio,19,D2,12
2024,junio,19,D3,7
2024,junio,19,D4,2
2024,junio,21,D1,50
2024,junio,21,D2,10
2024,junio,21,D3,5
2024,junio,22,D1,19
2024,junio,22,D2,11
2024,junio,22,D3,6
2024,junio,22,D4,2
2024,junio,24,D1,38
2024,junio,24,D2,9
2024,junio,24,D3,15
2024,junio,24,D4,10
2024,junio,25,D1,35
2024,junio,25,D2,18
2024,junio,25,D3,19
2024,junio,25,D4,6
2024,junio,26,D1,33
2024,junio,26,D2,18
2024,junio,26,D3,12
2024,junio,26,D4,11
2024,junio,27,D1,37
2024,junio,27,D2,34
2024,junio,27,D3,19
2024,junio,27,D4,7
2024,junio,28,D1,39
2024,junio,28,D2,24
2024,junio,28,D3,9
2024,junio,28,D4,18
2024,julio,1,D1,44
2024,julio,1,D2,9
2024,julio,1,D3,7
2024,julio,1,D4,3
2024,julio,2,D1,39
2024,julio,2,D2,17
2024,julio,2,D3,9
2024,julio,2,D4,4
2024,julio,3,D1,40
2024,julio,3,D2,24
2024,julio,3,D3,8
2024,julio,3,D4,6
2024,julio,4,D1,49
2024,julio,4,D2,14
2024,julio,4,D3,12
2024,julio,4,D4,6
2024,julio,5,D1,31
2024,julio,5,D2,14
2024,julio,5,D3,19
2024,julio,5,D4,8
2024,julio,6,D1,6
2024,julio,6,D2,9
2024,julio,6,D3,9
2024,julio,6,D4,5
2024,julio,8,D1,45
2024,julio,8,D2,19
2024,julio,8,D3,9
2024,julio,8,D4,10
2024,julio,9,D1,55
2024,julio,9,D2,15
2024,julio,9,D3,12
2024,julio,9,D4,13
2024,julio,10,D1,38
2024,julio,10,D2,11
2024,julio,10,D3,18
2024,julio,10,D4,17
2024,julio,11,D1,54
2024,julio,11,D2,13
2024,julio,11,D3,21
2024,julio,11,D4,17
2024,julio,12,D1,38
2024,julio,12,D2,13
2024,julio,12,D3,15
2024,julio,12,D4,19
2024,julio,13,D1,14
2024,julio,13,D2,11
2024,julio,13,D3,6
2024,julio,13,D4,8
2024,julio,15,D1,31
2024,julio,15,D2,19
2024,julio,15,D3,27
2024,julio,15,D4,29
2024,julio,17,D1,43
2024,julio,17,D2,14
2024,julio,17,D3,14
2024,julio,17,D4,28
2024,julio,18,D1,39
2024,julio,18,D2,19
2024,julio,18,D3,35
2024,julio,18,D4,31
2024,julio,19,D1,42
2024,julio,19,D2,23
2024,julio,19,D3,19
2024,julio,19,D4,24
2024,julio,20,D1,23
2024,julio,20,D3,3
2024,julio,20,D4,8
2024,julio,22,D1,48
2024,julio,22,D2,17
2024,julio,22,D3,15
2024,julio,22,D4,18
2024,julio,23,D1,68
2024,julio,23,D2,17
2024,julio,23,D3,21
2024,julio,23,D4,15
2024,julio,24,D1,47
2024,julio,24,D2,22
2024,julio,24,D3,19
2024,julio,24,D4,22
2024,julio,25,D1,69
2024,julio,25,D2,12
2024,julio,25,D3,11
2024,julio,25,D4,27
2024,julio,26,D1,45
2024,julio,26,D2,8
2024,julio,26,D3,28
2024,julio,26,D4,22
2024,julio,27,D1,2
2024,julio,27,D2,6
2024,julio,27,D3,16
2024,julio,27,D4,9
2024,julio,29,D1,36
2024,julio,29,D2,4
2024,julio,29,D3,29
2024,julio,29,D4,37
2024,julio,30,D1,41
2024,julio,30,D2,4
2024,julio,30,D3,51
2024,julio,30,D4,31
2024,julio,31,D1,46
2024,julio,31,D2,12
2024,julio,31,D3,36
2024,julio,31,D4,25
2024,agosto,1,D1,35
2024,agosto,1,D2,12
2024,agosto,1,D3,30
2024,agosto,1,D4,17
2024,agosto,2,D1,47
2024,agosto,2,D2,3
2024,agosto,2,D3,29
2024,agosto,2,D4,29
2024,agosto,3,D1,19
2024,agosto,3,D2,5
2024,agosto,3,D3,9
2024,agosto,3,D4,11
2024,agosto,5,D1,5
2024,agosto,5,D2,1
2024,agosto,5,D3,49
2024,agosto,5,D4,15
2024,agosto,6,D1,3
2024,agosto,6,D2,3
2024,agosto,6,D3,28
2024,agosto,6,D4,23
2024,agosto,7,D1,9
2024,agosto,7,D2,1
2024,agosto,7,D3,42
2024,agosto,7,D4,21
2024,agosto,8,D1,13
2024,agosto,8,D2,1
2024,agosto,8,D3,39
2024,agosto,8,D4,18
2024,agosto,9,D1,16
2024,agosto,9,D2,2
2024,agosto,9,D3,42
2024,agosto,9,D4,16
2024,agosto,10,D1,3
2024,agosto,10,D3,10
2024,agosto,10,D4,13
2024,agosto,12,D1,22
2024,agosto,12,D2,10
2024,agosto,12,D3,86
2024,agosto,12,D4,25
2024,agosto,13,D1,24
2024,agosto,13,D2,10
2024,agosto,13,D3,110
2024,agosto,13,D4,33
2024,agosto,14,D1,15
2024,agosto,14,D2,10
2024,agosto,14,D3,45
2024,agosto,14,D4,45
2024,agosto,15,D1,1
2024,agosto,15,D2,10
2024,agosto,15,D3,58
2024,agosto,15,D4,26
2024,agosto,16,D1,19
2024,agosto,16,D2,5
2024,agosto,16,D3,100
2024,agosto,16,D4,23
2024,agosto,17,D1,1
2024,agosto,17,D3,18
2024,agosto,17,D4,13
2024,agosto,19,D1,49
2024,agosto,19,D2,12
2024,agosto,19,D3,23
2024,agosto,19,D4,24
2024,agosto,20,D1,77
2024,agosto,20,D2,8
2024,agosto,20,D3,35
2024,agosto,20,D4,32
2024,agosto,21,D1,66
2024,agosto,21,D2,15
2024,agosto,21,D3,44
2024,agosto,21,D4,42
2024,agosto,22,D1,57
2024,agosto,22,D2,3
2024,agosto,22,D3,28
2024,agosto,22,D4,17
2024,agosto,23,D1,56
2024,agosto,23,D2,1
2024,agosto,23,D3,57
2024,agosto,23,D4,23
2024,agosto,24,D1,11
2024,agosto,24,D3,19
2024,agosto,24,D4,4
2024,agosto,26,D1,61
2024,agosto,26,D2,3
2024,agosto,26,D3,33
2024,agosto,26,D4,22
2024,agosto,27,D1,31
2024,agosto,27,D2,6
2024,agosto,27,D3,52
2024,agosto,27,D4,36
2024,agosto,28,D1,30
2024,agosto,28,D2,17
2024,agosto,28,D3,42
2024,agosto,28,D4,28
2024,agosto,29,D1,32
2024,agosto,29,D2,17
2024,agosto,29,D3,38
2024,agosto,29,D4,42
2024,agosto,30,D1,26
2024,agosto,30,D2,12
2024,agosto,30,D3,35
2024,agosto,30,D4,30
2024,agosto,31,D1,13
2024,agosto,31,D3,11
2024,agosto,31,D4,7
2024,septiembre,2,D1,28
2024,septiembre,2,D2,12
2024,septiembre,2,D3,57
2024,septiembre,2,D4,42
2024,septiembre,3,D1,14
2024,septiembre,3,D2,17
2024,septiembre,3,D3,54
2024,septiembre,3,D4,56
2024,septiembre,4,D1,5
2024,septiembre,4,D2,2
2024,septiembre,4,D3,94
2024,septiembre,4,D4,10
2024,septiembre,5,D1,19
2024,septiembre,5,D2,3
2024,septiembre,5,D3,34
2024,septiembre,5,D4,15
2024,septiembre,6,D1,14
2024,septiembre,6,D2,4
2024,septiembre,6,D3,38
2024,septiembre,6,D4,12
2024,septiembre,7,D1,16
2024,septiembre,7,D2,1
2024,septiembre,7,D3,20
2024,septiembre,7,D4,7
2024,septiembre,9,D1,21
2024,septiembre,9,D2,4
2024,septiembre,9,D3,68
2024,septiembre,9,D4,19
2024,septiembre,10,D1,15
2024,septiembre,10,D2,2
2024,septiembre,10,D3,114
2024,septiembre,10,D4,20
2024,septiembre,11,D1,21
2024,septiembre,11,D2,2
2024,septiembre,11,D3,100
2024,septiembre,11,D4,12
2024,septiembre,12,D1,16
2024,septiembre,12,D2,4
2024,septiembre,12,D3,90
2024,septiembre,12,D4,26
2024,septiembre,13,D1,16
2024,septiembre,13,D2,5
2024,septiembre,13,D3,67
2024,septiembre,13,D4,25
2024,septiembre,14,D1,8
2024,septiembre,14,D2,3
2024,septiembre,14,D3,32
2024,septiembre,14,D4,6
2024,septiembre,16,D1,22
2024,septiembre,16,D2,21
2024,septiembre,16,D3,25
2024,septiembre,16,D4,17
2024,septiembre,17,D1,24
2024,septiembre,17,D2,17
2024,septiembre,17,D3,15
2024,septiembre,17,D4,18
2024,septiembre,21,D1,13
2024,septiembre,21,D2,1
2024,septiembre,21,D3,1
2024,septiembre,21,D4,2
2024,septiembre,23,D1,37
2024,septiembre,23,D2,26
2024,septiembre,23,D3,39
2024,septiembre,23,D4,38
2024,septiembre,24,D1,51
2024,septiembre,24,D2,75
2024,septiembre,24,D3,50
2024,septiembre,24,D4,29
2024,septiembre,25,D1,63
2024,septiembre,25,D2,37
2024,septiembre,25,D3,47
2024,septiembre,25,D4,12
2024,septiembre,26,D1,63
2024,septiembre,26,D2,44
2024,septiembre,26,D3,43
2024,septiembre,26,D4,31
2024,septiembre,27,D1,48
2024,septiembre,27,D2,26
2024,septiembre,27,D3,25
2024,septiembre,27,D4,24
2024,septiembre,28,D1,14
2024,septiembre,28,D2,4
2024,septiembre,28,D3,15
2024,septiembre,28,D4,8
2024,septiembre,30,D1,42
2024,septiembre,30,D2,46
2024,septiembre,30,D3,51
2024,septiembre,30,D4,41
2024,octubre,1,D1,50
2024,octubre,1,D2,30
2024,octubre,1,D3,50
2024,octubre,1,D4,41
2024,octubre,2,D1,45
2024,octubre,2,D2,30
2024,octubre,2,D3,48
2024,octubre,2,D4,32
2024,octubre,3,D1,52
2024,octubre,3,D2,24
2024,octubre,3,D3,51
2024,octubre,3,D4,37
2024,octubre,4,D1,47
2024,octubre,4,D2,20
2024,octubre,4,D3,64
2024,octubre,4,D4,35
2024,octubre,5,D1,17
2024,octubre,5,D2,13
2024,octubre,5,D3,13
2024,octubre,5,D4,14
2024,octubre,7,D1,38
2024,octubre,7,D2,27
2024,octubre,7,D3,47
2024,octubre,7,D4,34
2024,octubre,8,D1,42
2024,octubre,8,D2,30
2024,octubre,8,D3,20
2024,octubre,8,D4,27
2024,octubre,9,D1,54
2024,octubre,9,D2,33
2024,octubre,9,D3,27
2024,octubre,9,D4,15
2024,octubre,10,D1,47
2024,octubre,10,D2,35
2024,octubre,10,D3,20
2024,octubre,10,D4,23
2024,octubre,11,D1,76
2024,octubre,11,D2,12
2024,octubre,11,D3,51
2024,octubre,11,D4,38
2024,octubre,14,D1,49
2024,octubre,14,D2,16
2024,octubre,14,D3,39
2024,octubre,14,D4,34
2024,octubre,15,D1,56
2024,octubre,15,D2,28
2024,octubre,15,D3,42
2024,octubre,15,D4,29
2024,octubre,16,D1,59
2024,octubre,16,D2,21
2024,octubre,16,D3,45
2024,octubre,16,D4,24
2024,octubre,17,D1,56
2024,octubre,17,D2,23
2024,octubre,17,D3,38
2024,octubre,17,D4,26
2024,octubre,18,D1,46
2024,octubre,18,D2,20
2024,octubre,18,D3,40
2024,octubre,18,D4,36
2024,octubre,19,D1,23
2024,octubre,19,D2,11
2024,octubre,19,D3,6
2024,octubre,19,D4,13
2024,octubre,21,D1,40
2024,octubre,21,D2,25
2024,octubre,21,D3,43
2024,octubre,21,D4,17
2024,octubre,22,D1,58
2024,octubre,22,D2,13
2024,octubre,22,D3,32
2024,octubre,22,D4,21
2024,octubre,23,D1,38
2024,octubre,23,D2,8
2024,octubre,23,D3,35
2024,octubre,23,D4,28
2024,octubre,24,D1,57
2024,octubre,24,D2,19
2024,octubre,24,D3,28
2024,octubre,24,D4,16
2024,octubre,25,D1,67
2024,octubre,25,D2,22
2024,octubre,25,D3,25
2024,octubre,25,D4,25
2024,octubre,26,D1,18
2024,octubre,26,D2,1
2024,octubre,26,D3,14
2024,octubre,26,D4,3
2024,octubre,28,D1,45
2024,octubre,28,D2,28
2024,octubre,28,D3,45
2024,octubre,28,D4,31
2024,octubre,29,D1,31
2024,octubre,29,D2,44
2024,octubre,29,D3,14
2024,octubre,29,D4,16
2024,octubre,30,D1,45
2024,octubre,30,D2,34
2024,octubre,30,D3,17
2024,octubre,30,D4,9
